Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB,Throttle_Flag
458.5674,82.60,2311.0,1836.6,1
458.7730,83.70,2201.0,1837.0,1
458.9672,82.05,2366.0,1837.5,1
459.1753,82.60,2311.0,1837.7,1
459.3676,82.60,2311.0,1836.4,1
459.5750,84.25,2146.0,1836.0,1
459.7716,83.15,2201.0,1835.8,1
459.9736,83.15,2400.0,1836.0,1
460.1685,82.05,2366.0,1836.0,1
460.3667,82.60,2311.0,1835.3,1
460.5728,83.15,2256.0,1835.6,1
460.7833,83.15,2256.0,1835.8,1
460.9754,83.15,2256.0,1835.8,1
461.1754,83.15,2256.0,1835.8,1
461.3692,83.15,2256.0,1835.5,0
461.5681,83.70,2201.0,1835.0,1
461.7708,83.15,2256.0,1835.0,1
461.9713,82.05,2366.0,1835.0,1
462.1681,82.60,2311.0,1835.2,1
462.3788,83.15,2366.0,1834.5,1
462.5708,82.60,2400.0,1834.4,1
462.7714,82.60,2311.0,1834.5,1
462.9723,82.60,2311.0,1834.5,0
463.1719,82.60,2311.0,1834.2,1
463.3697,82.60,2311.0,1834.0,1
463.5794,83.15,2311.0,1834.5,1
463.7775,82.60,2311.0,1834.2,1
463.9783,82.60,2311.0,1834.2,1
464.1735,84.25,2256.0,1834.7,1
464.3733,83.15,2256.0,1834.7,0
464.5751,82.60,2311.0,1834.0,1
464.7793,83.15,2256.0,1834.0,1
464.9736,83.70,2201.0,1834.0,0
465.1751,82.05,2366.0,1833.5,1
465.3718,82.05,2366.0,1832.8,1
465.5695,83.15,2256.0,1832.6,1
465.7754,82.05,2366.0,1832.5,1
465.9740,83.15,2256.0,1832.1,1
466.1735,82.60,2311.0,1832.1,0
466.3839,82.60,2256.0,1832.5,1
466.5725,81.50,2366.0,1833.8,0
466.7749,82.60,2311.0,1833.8,1
466.9792,82.60,2311.0,1833.8,1
467.1733,82.05,2366.0,1833.8,1
467.3777,82.05,2311.0,1833.5,1
467.5807,83.15,2256.0,1832.9,1
467.7750,82.60,2311.0,1832.9,1
467.9832,82.60,2311.0,1832.9,1
468.1803,81.50,2311.0,1833.1,1
468.3794,83.70,2201.0,1833.2,1
468.5793,83.15,2256.0,1833.6,1
468.7746,82.60,2311.0,1833.5,1
468.9831,84.25,2366.0,1833.2,1
469.1807,82.60,2311.0,1833.2,1
469.3788,83.15,2256.0,1833.5,1
469.5829,83.70,2201.0,1834.1,1
469.7834,82.60,2311.0,1834.1,1
469.9788,82.60,2311.0,1834.1,1
470.1795,82.60,2311.0,1834.1,1
470.3782,82.60,2256.0,1833.3,1
470.5832,83.15,2256.0,1832.8,1
470.8825,83.15,2256.0,1832.8,1
470.9844,83.15,2256.0,1832.8,1
471.1905,82.05,2366.0,1832.8,0
471.3834,83.15,2256.0,1833.3,1
471.5866,83.70,2201.0,1833.1,1
471.7854,83.70,2201.0,1833.3,1
471.9810,83.70,2256.0,1833.5,1
472.1809,83.15,2256.0,1833.5,1
472.3834,83.70,2201.0,1831.8,1
472.5860,82.05,2256.0,1832.2,1
472.7829,83.15,2256.0,1832.5,1
472.9874,83.70,2201.0,1832.5,1
473.1872,82.05,2366.0,1832.5,1
473.3915,84.25,2366.0,1832.0,1
473.5835,82.60,2311.0,1832.0,1
473.7913,82.60,2311.0,1832.0,1
473.9856,83.15,2311.0,1832.0,1
474.1959,83.15,2256.0,1832.3,1
474.3820,83.15,2256.0,1832.5,1
474.5834,83.15,2256.0,1832.5,1
474.7872,83.70,2201.0,1832.5,1
474.9874,83.15,2256.0,1832.8,1
475.1871,82.60,2311.0,1832.8,1
475.3949,83.15,2201.0,1831.8,1
475.5943,84.25,2256.0,1831.3,1
475.7882,82.05,2366.0,1831.5,1
475.9927,83.15,2256.0,1831.5,1
476.1869,83.70,2201.0,1831.5,1
476.3931,83.70,2311.0,1831.5,1
476.5871,83.70,2201.0,1831.8,1
476.7923,82.60,2311.0,1832.5,1
476.9861,83.15,2256.0,1831.8,1
477.1914,82.60,2311.0,1831.8,1
477.3951,83.15,2256.0,1831.1,1
477.5954,83.70,2201.0,1831.3,1
477.7943,83.15,2256.0,1831.3,1
477.9989,83.15,2201.0,1831.3,1
478.1953,83.15,2256.0,1831.3,1
478.3953,83.70,2201.0,1830.8,1
478.5953,83.70,2201.0,1830.8,1
