Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB
123.1496,57.85,2400.0,1834.1
123.3478,56.75,2400.0,1833.6
123.5498,57.85,2400.0,1833.6
123.7475,57.30,2400.0,1833.5
123.9498,57.30,2400.0,1833.5
124.1556,57.30,2400.0,1833.4
124.3482,58.40,2400.0,1832.9
124.5495,57.30,2400.0,1832.5
124.7562,56.75,2400.0,1832.7
124.9503,56.75,2400.0,1833.1
125.1513,57.85,2400.0,1832.5
125.3491,57.30,2400.0,1832.1
125.5539,58.95,2400.0,1832.1
125.7496,57.85,2400.0,1831.4
125.9501,58.40,2400.0,1831.4
126.1500,58.40,2400.0,1831.0
126.3505,57.85,2400.0,1830.8
126.5512,58.40,2400.0,1830.8
126.7518,58.40,2400.0,1830.8
126.9519,57.85,2400.0,1831.8
127.1550,58.40,2400.0,1831.8
127.3521,58.40,2400.0,1831.2
127.5517,57.85,2400.0,1830.0
127.7578,58.95,2400.0,1830.0
127.9516,57.85,2400.0,1830.4
128.1520,56.75,2400.0,1830.5
128.3529,57.85,2400.0,1829.4
128.5573,58.40,2400.0,1829.4
128.7541,58.95,2400.0,1829.4
128.9524,57.85,2400.0,1829.4
129.1538,58.40,2400.0,1828.0
129.3533,58.40,2400.0,1827.7
129.5522,58.40,2400.0,1829.7
129.7571,58.40,2400.0,1830.7
129.9527,58.40,2400.0,1831.9
130.1527,58.40,2400.0,1833.4
130.3524,58.40,2400.0,1833.0
130.5579,58.40,2400.0,1832.1
130.7519,57.85,2400.0,1832.3
130.9522,58.40,2400.0,1833.5
131.1552,57.30,2400.0,1833.5
131.3549,58.95,2400.0,1833.2
131.5537,58.95,2400.0,1833.5
131.7557,58.95,2400.0,1833.5
131.9534,57.30,2400.0,1833.9
132.1555,59.50,2400.0,1832.2
132.3570,57.85,2400.0,1831.3
132.5544,57.85,2400.0,1830.7
132.7546,58.40,2400.0,1830.7
132.9578,58.95,2400.0,1830.7
133.1559,58.95,2400.0,1833.0
133.3553,58.95,2400.0,1832.6
133.5564,58.40,2400.0,1832.6
133.7565,59.50,2400.0,1833.0
133.9581,58.95,2400.0,1833.1
134.1548,59.50,2400.0,1832.6
134.3573,58.95,2400.0,1832.1
134.5575,58.95,2400.0,1831.9
134.7596,58.95,2400.0,1831.9
134.9580,57.85,2400.0,1831.9
135.1578,57.85,2400.0,1832.1
135.3567,58.95,2400.0,1832.0
135.5581,57.30,2400.0,1831.8
135.7618,59.50,2400.0,1832.2
135.9562,60.05,2400.0,1832.2
136.1579,59.50,2400.0,1830.6
136.3568,59.50,2400.0,1831.4
136.5611,57.30,2400.0,1831.4
136.7628,58.95,2400.0,1831.4
136.9574,59.50,2400.0,1831.4
137.1585,58.40,2400.0,1831.6
137.3588,60.05,2400.0,1832.0
137.5593,58.95,2400.0,1832.4
137.7590,59.50,2400.0,1832.6
137.9627,58.40,2400.0,1832.6
138.1585,58.40,2400.0,1832.3
138.3596,59.50,2400.0,1832.2
138.5588,59.50,2400.0,1832.0
138.7598,60.05,2400.0,1832.0
138.9595,59.50,2400.0,1832.0
139.1590,59.50,2400.0,1831.6
139.3593,58.95,2400.0,1829.4
139.5632,59.50,2400.0,1829.0
139.7606,58.40,2400.0,1829.2
139.9603,59.50,2400.0,1829.2
140.1620,58.40,2400.0,1828.0
140.3598,60.05,2400.0,1828.6
140.5624,58.95,2400.0,1829.3
140.7629,59.50,2400.0,1830.7
140.9629,57.85,2400.0,1831.7
141.1639,59.50,2400.0,1831.6
141.3666,58.95,2400.0,1831.8
141.5629,59.50,2400.0,1831.8
141.7634,59.50,2400.0,1831.8
141.9633,58.95,2400.0,1831.5
142.1642,59.50,2400.0,1831.5
142.3668,59.50,2400.0,1831.8
142.5651,59.50,2400.0,1831.8
142.7707,59.50,2400.0,1832.2
142.9655,59.50,2400.0,1832.6
143.1643,58.40,2400.0,1831.8
